RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone ,White alone High school graduate or higher,White alone Bachelor's degree or higher,Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,American Indian or Alaska Native alone,American Indian or Alaska Native alone High school graduate or higher,American Indian or Alaska Native alone Bachelor's degree or higher,Asian alone,Asian High school graduate or higher,Asian Bachelor's degree or higher,Some other race alone,Some other race  High school graduate or higher,Some other race Bachelor's degree or higher,Two or more races,Two or more races High school graduate or higher,Two or more races  Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher
Alabama!!Total!!Estimate,2353878,2115460,712934,846228,719012,158611,15329,12051,2995,49205,42522,29746,52425,32330,7965,132934,112190,34321,113536,76598,22182
Alabama!!Percent!!Estimate,(X),0.899,0.303,(X),0.85,0.187,(X),0.786,0.195,(X),0.864,0.605,(X),0.617,0.152,(X),0.844,0.258,(X),0.675,0.195
Alabama!!Male!!Estimate,1138403,1008457,345987,377410,311645,53878,6663,5224,1275,22164,19273,13687,28375,18139,4500,69575,56800,14663,59774,39000,9912
Alabama!!Percent Male!!Estimate,(X),0.886,0.304,(X),0.826,0.143,(X),0.784,0.191,(X),0.87,0.618,(X),0.639,0.159,(X),0.816,0.211,(X),0.652,0.166
Alabama!!Female!!Estimate,1215475,1107003,366947,468818,407367,104733,8666,6827,1720,27041,23249,16059,24050,14191,3465,63359,55390,19658,53762,37598,12270
Alabama!!Percent Female!!Estimate,(X),0.911,0.302,(X),0.869,0.223,(X),0.788,0.198,(X),0.86,0.594,(X),0.59,0.144,(X),0.874,0.31,(X),0.699,0.228
Alaska!!Total!!Estimate,314524,302619,121059,14708,14092,4549,58526,49941,5138,32328,28154,9719,12429,10316,2355,47727,43066,15558,28495,25134,6197
Alaska!!Percent!!Estimate,(X),0.962,0.385,(X),0.958,0.309,(X),0.853,0.088,(X),0.871,0.301,(X),0.83,0.189,(X),0.902,0.326,(X),0.882,0.217
Alaska!!Male!!Estimate,166046,158910,56132,7822,7504,1845,29301,24426,1169,13602,12040,3535,7162,5366,1070,24424,21673,6415,14316,12123,2679
Alaska!!Percent Male!!Estimate,(X),0.957,0.338,(X),0.959,0.236,(X),0.834,0.04,(X),0.885,0.26,(X),0.749,0.149,(X),0.887,0.263,(X),0.847,0.187
Alaska!!Female!!Estimate,148478,143709,64927,6886,6588,2704,29225,25515,3969,18726,16114,6184,5267,4950,1285,23303,21393,9143,14179,13011,3518
Alaska!!Percent Female!!Estimate,(X),0.968,0.437,(X),0.957,0.393,(X),0.873,0.136,(X),0.861,0.33,(X),0.94,0.244,(X),0.918,0.392,(X),0.918,0.248
Arizona!!Total!!Estimate,3171578,2985734,1191246,208771,194235,62985,178658,145795,19829,178083,162575,103845,420052,306159,64452,815246,629255,170664,1334427,988689,220323
Arizona!!Percent!!Estimate,(X),0.941,0.376,(X),0.93,0.302,(X),0.816,0.111,(X),0.913,0.583,(X),0.729,0.153,(X),0.772,0.209,(X),0.741,0.165
Arizona!!Male!!Estimate,1563187,1461903,592241,108640,99918,30951,83872,67602,6701,81928,77426,52321,209632,147503,28033,405459,311732,80069,666283,485997,100638
Arizona!!Percent Male!!Estimate,(X),0.935,0.379,(X),0.92,0.285,(X),0.806,0.08,(X),0.945,0.639,(X),0.704,0.134,(X),0.769,0.197,(X),0.729,0.151
Arizona!!Female!!Estimate,1608391,1523831,599005,100131,94317,32034,94786,78193,13128,96155,85149,51524,210420,158656,36419,409787,317523,90595,668144,502692,119685
Arizona!!Percent Female!!Estimate,(X),0.947,0.372,(X),0.942,0.32,(X),0.825,0.139,(X),0.886,0.536,(X),0.754,0.173,(X),0.775,0.221,(X),0.752,0.179
