state,White alone,White alone High school graduate or higher,White alone Bachelor's degree or higher,Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,American Indian or Alaska Native alone,American Indian or Alaska Native alone High school graduate or higher,American Indian or Alaska Native alone Bachelor's degree or higher,Asian alone,Asian High school graduate or higher,Asian Bachelor's degree or higher,Some other race alone,Some other race  High school graduate or higher,Some other race Bachelor's degree or higher,Two or more races,Two or more races High school graduate or higher,Two or more races  Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher,population of state,,White alone %,White alone High school graduate or higher %,White alone Bachelor's degree or higher %,Black alone %,Black alone High school graduate or higher %,Black alone Bachelor's degree or higher %,American Indian or Alaska Native alone %,American Indian or Alaska Native alone High school graduate or higher %,American Indian or Alaska Native alone Bachelor's degree or higher %,Asian alone %,Asian High school graduate or higher %,Asian Bachelor's degree or higher %,Some other race alone %,Some other race  High school graduate or higher %,Some other race Bachelor's degree or higher %,Two or more races %,Two or more races High school graduate or higher %,Two or more races  Bachelor's degree or higher %,Hispanic or Latino Origin %,Hispanic or Latino Origin High school graduate or higher %,Hispanic or Latino Origin Bachelor's degree or higher %,covid/pop,"DEATHS, 2020"
Alabama,2353878,2115460,712934,846228,719012,158611,15329,12051,2995,49205,42522,29746,52425,32330,7965,132934,112190,34321,113536,76598,22182,"5,074,296",,0.463882675,0.416897241,0.140499096,0.166767567,0.141696897,0.031257735,0.003020912,0.002374911,0.00059023,0.009696912,0.008379882,0.005862094,0.010331482,0.006371327,0.001569676,0.026197526,0.022109471,0.006763697,0.022374729,0.015095296,0.004371444,0.001289637,6544
Alaska,314524,302619,121059,14708,14092,4549,58526,49941,5138,32328,28154,9719,12429,10316,2355,47727,43066,15558,28495,25134,6197,"733,583",,0.428750394,0.412521828,0.165024271,0.020049538,0.019209824,0.006201071,0.07978102,0.068078186,0.007003979,0.044068633,0.038378752,0.013248671,0.016942868,0.014062485,0.003210271,0.065060123,0.058706377,0.021208234,0.038843594,0.034261972,0.008447579,0.00031353,230
Arizona,3171578,2985734,1191246,208771,194235,62985,178658,145795,19829,178083,162575,103845,420052,306159,64452,815246,629255,170664,1334427,988689,220323,"7,359,197",,0.430967944,0.405714645,0.161871737,0.02836872,0.026393505,0.008558678,0.024276833,0.019811265,0.002694452,0.0241987,0.022091405,0.014110915,0.05707851,0.041602229,0.008758021,0.110779206,0.085505932,0.023190574,0.1813278,0.134347402,0.029938457,0.001147815,8447
Arkansas,1502180,1369911,411447,276968,241519,52928,11466,8410,2862,30422,25959,13884,48945,28059,5469,161552,129477,28412,122921,75184,15559,"3,045,637",,0.493223585,0.449794575,0.135093906,0.090939268,0.079299995,0.017378302,0.00376473,0.002761327,0.000939705,0.009988715,0.00852334,0.004558652,0.01607053,0.009212851,0.001795683,0.053043747,0.042512289,0.009328755,0.040359701,0.024685805,0.005108619,0.001156737,3523
California,11574198,10855296,5161935,1505960,1365488,421317,350411,246909,58563,4422975,3920278,2438033,4660801,2983869,579270,4291796,3264313,1058014,9429445,6425060,1500196,"39,029,342",,0.296551195,0.278131668,0.132257802,0.038585329,0.034986191,0.010794878,0.008978143,0.00632624,0.001500486,0.113324355,0.100444378,0.062466669,0.119417873,0.076451942,0.01484191,0.109963319,0.083637408,0.027108169,0.241598872,0.164621274,0.038437645,0.000802858,31335
Colorado,2999466,2881501,1479678,149317,135390,44767,41735,33948,7872,135441,116220,72976,227550,161618,42477,485465,404911,147604,742970,567322,159007,"5,839,926",,0.5136137,0.493413958,0.253372731,0.025568303,0.023183513,0.007665679,0.007146495,0.005813087,0.001347962,0.023192246,0.019900937,0.012496049,0.038964535,0.027674666,0.007273551,0.083128622,0.069334954,0.025274978,0.127222502,0.097145409,0.027227571,0.000738879,4315
Connecticut,1758999,1662001,822862,252690,223992,65705,8670,6439,2456,117298,106006,77689,167888,118436,28310,227454,191098,70573,371561,277878,77525,"3,626,205",,0.485079856,0.458330679,0.226920982,0.069684422,0.061770363,0.018119494,0.002390929,0.001775686,0.000677292,0.032347316,0.029233317,0.021424327,0.046298541,0.032661143,0.00780706,0.06272508,0.052699172,0.019461944,0.102465525,0.076630527,0.0213791,0.001594504,5782
Delaware,465751,439262,175698,138516,125050,37474,0,0,0,29184,26679,21317,27886,15510,3352,47375,41213,14443,54254,36110,10163,"1,018,396",,0.457337814,0.431327303,0.172524244,0.136013889,0.122791134,0.036797081,0,0,0,0.028656829,0.026197079,0.020931936,0.027382276,0.015229832,0.00329145,0.046519232,0.040468541,0.014182106,0.053273972,0.03545772,0.009979419,0.000989792,1008
Florida,9406998,8807228,3436493,2134759,1834275,487450,43970,32764,10041,454797,395464,236690,922629,717568,211868,2790467,2358155,842046,3934980,3219657,1083074,"22,244,823",,0.422884821,0.395922593,0.154485068,0.095966554,0.082458512,0.021912964,0.00197664,0.001472882,0.000451386,0.020445072,0.017777799,0.010640229,0.041476122,0.032257753,0.009524373,0.125443435,0.10600916,0.037853572,0.176894192,0.144737362,0.048688812,0.000864516,19231
Georgia,4001264,3674877,1514316,2158222,1913622,599859,29622,17517,5294,319465,281171,186903,221192,138769,42532,501148,407601,155557,574391,392476,130666,"10,912,876",,0.366655316,0.336746885,0.138764153,0.197768398,0.175354508,0.054968003,0.002714408,0.001605168,0.000485115,0.029274135,0.025765069,0.017126833,0.020268901,0.01271608,0.003897414,0.045922633,0.037350466,0.014254446,0.052634246,0.035964488,0.011973562,0.000866224,9453
