Population 25 years and over,High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school graduate or higher,Bachelor's degree or higher,state,gender,estimate
116931431,29264358.0,22681638.0,11253909.0,25413339.0,16761705.0,105374949.0,42175044.0,United States,Female,Estimate
1808137,544876.0,376920.0,180377.0,309168.0,203414.0,1614755.0,512582.0,Alabama,Female,Estimate
235069,57155.0,54968.0,20106.0,58570.0,30413.0,221212.0,88983.0,Alaska,Female,Estimate
2523937,575934.0,610982.0,251324.0,494525.0,328979.0,2261744.0,823504.0,Arizona,Female,Estimate
1055360,335652.0,233534.0,99339.0,174542.0,106296.0,949363.0,280838.0,Arkansas,Female,Estimate
13605953,2670466.0,2692918.0,1175304.0,3088673.0,1930386.0,11557747.0,5019059.0,California,Female,Estimate
2010010,377342.0,390849.0,181779.0,567781.0,356192.0,1873943.0,923973.0,Colorado,Female,Estimate
1312115,316630.0,207864.0,111338.0,307912.0,263141.0,1206885.0,571053.0,Connecticut,Female,Estimate
371902,100798.0,67019.0,38606.0,78277.0,58217.0,342917.0,136494.0,Delaware,Female,Estimate
253071,38866.0,29817.0,8114.0,62070.0,95176.0,234043.0,157246.0,District of Columbia,Female,Estimate
8125173,2178643.0,1543792.0,892618.0,1717364.0,1021580.0,7353997.0,2738944.0,Florida,Female,Estimate
3791197,951456.0,750806.0,353744.0,799240.0,564821.0,3420067.0,1364061.0,Georgia,Female,Estimate
517738,130957.0,98890.0,59386.0,123480.0,71971.0,484684.0,195451.0,Hawaii,Female,Estimate
632732,158488.0,149599.0,72460.0,134406.0,67809.0,582762.0,202215.0,Idaho,Female,Estimate
4481255,1066386.0,878057.0,405983.0,1010848.0,712164.0,4073438.0,1723012.0,Illinois,Female,Estimate
2333870,735437.0,452671.0,231064.0,452792.0,253965.0,2125929.0,706757.0,Indiana,Female,Estimate
1082879,298754.0,227025.0,142453.0,238570.0,110967.0,1017769.0,349537.0,Iowa,Female,Estimate
983890,237704.0,225873.0,91409.0,222018.0,135067.0,912071.0,357085.0,Kansas,Female,Estimate
1583744,483907.0,308046.0,164004.0,261134.0,195806.0,1412897.0,456940.0,Kentucky,Female,Estimate
1623667,498226.0,355546.0,129910.0,291653.0,167416.0,1442751.0,459069.0,Louisiana,Female,Estimate
522910,142292.0,96847.0,61405.0,121638.0,78231.0,500413.0,199869.0,Maine,Female,Estimate
2234336,501444.0,407972.0,171243.0,506587.0,468133.0,2055379.0,974720.0,Maryland,Female,Estimate
2561439,534993.0,367291.0,226730.0,647818.0,565776.0,2342608.0,1213594.0,Massachusetts,Female,Estimate
3566344,981221.0,766285.0,389001.0,707897.0,462676.0,3307080.0,1170573.0,Michigan,Female,Estimate
