Population 25 years and over,High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school graduate or higher,Bachelor's degree or higher,state,gender,estimate
111262033,30731986.0,21367303.0,8718326.0,23068721.0,14659698.0,98546034.0,37728419.0,United States,Male,Estimate
1643071,534409.0,328742.0,122651.0,263108.0,171076.0,1419986.0,434184.0,Alabama,Male,Estimate
250710,78318.0,63282.0,20170.0,42852.0,27455.0,232077.0,70307.0,Alaska,Male,Estimate
2456360,592123.0,569509.0,215981.0,491148.0,300429.0,2169190.0,791577.0,Arizona,Male,Estimate
982403,359410.0,201701.0,62203.0,149595.0,84601.0,857510.0,234196.0,Arkansas,Male,Estimate
13303916,2908531.0,2594983.0,944971.0,2869357.0,1849401.0,11167243.0,4718758.0,California,Male,Estimate
2034172,437031.0,402589.0,152378.0,539528.0,332739.0,1864265.0,872267.0,Colorado,Male,Estimate
1222261,330146.0,198804.0,76732.0,279778.0,216840.0,1102300.0,496618.0,Connecticut,Male,Estimate
339202,100568.0,61864.0,27491.0,68018.0,48780.0,306721.0,116798.0,Delaware,Male,Estimate
225703,32059.0,26404.0,7121.0,58701.0,85905.0,210190.0,144606.0,District of Columbia,Male,Estimate
7636949,2184823.0,1436971.0,689886.0,1530857.0,957045.0,6799582.0,2487902.0,Florida,Male,Estimate
3443074,978920.0,640566.0,255826.0,714774.0,426241.0,3016327.0,1141015.0,Georgia,Male,Estimate
503949,138138.0,108001.0,53423.0,103369.0,61861.0,464792.0,165230.0,Hawaii,Male,Estimate
624834,179794.0,146984.0,54064.0,119356.0,64693.0,564891.0,184049.0,Idaho,Male,Estimate
4249442,1128607.0,829728.0,321353.0,921434.0,598133.0,3799255.0,1519567.0,Illinois,Male,Estimate
2225761,782559.0,431035.0,183344.0,390277.0,219753.0,2006968.0,610030.0,Indiana,Male,Estimate
1054382,347918.0,212700.0,113003.0,203308.0,99897.0,976826.0,303205.0,Iowa,Male,Estimate
958243,255941.0,210166.0,76166.0,205446.0,124921.0,872640.0,330367.0,Kansas,Male,Estimate
1494123,524047.0,286025.0,111704.0,227412.0,146062.0,1295250.0,373474.0,Kentucky,Male,Estimate
1493519,525216.0,287295.0,81327.0,231822.0,133478.0,1259138.0,365300.0,Louisiana,Male,Estimate
492168,158303.0,89639.0,45742.0,103349.0,62087.0,459120.0,165436.0,Maine,Male,Estimate
2038924,517603.0,352379.0,123599.0,449946.0,393536.0,1837063.0,843482.0,Maryland,Male,Estimate
2373316,589141.0,327147.0,149838.0,602930.0,483899.0,2152955.0,1086829.0,Massachusetts,Male,Estimate
3405551,1022044.0,753554.0,291322.0,630265.0,407332.0,3104517.0,1037597.0,Michigan,Male,Estimate
1935082,487182.0,391944.0,213230.0,483158.0,237449.0,1812963.0,720607.0,Minnesota,Male,Estimate
931462,303307.0,198371.0,80571.0,124617.0,75280.0,782146.0,199897.0,Mississippi,Male,Estimate
2045740,666964.0,416621.0,151841.0,391265.0,230969.0,1857660.0,622234.0,Missouri,Male,Estimate
386368,109882.0,91918.0,28944.0,83543.0,46804.0,361091.0,130347.0,Montana,Male,Estimate
639388,173135.0,138099.0,66250.0,135355.0,71672.0,584511.0,207027.0,Nebraska,Male,Estimate
1097399,304627.0,259340.0,93000.0,194137.0,102123.0,953227.0,296260.0,Nevada,Male,Estimate
498387,140395.0,90706.0,42353.0,121991.0,74078.0,469523.0,196069.0,New Hampshire,Male,Estimate
3133403,815585.0,490898.0,191111.0,802854.0,535378.0,2835826.0,1338232.0,New Jersey,Male,Estimate
712368,204808.0,153751.0,56282.0,106331.0,97677.0,618849.0,204008.0,New Mexico,Male,Estimate
6717049,1694318.0,1057424.0,552328.0,1495635.0,1074729.0,5874434.0,2570364.0,New York,Male,Estimate
3459101,925543.0,683075.0,303524.0,719685.0,422655.0,3054482.0,1142340.0,North Carolina,Male,Estimate
260103,74841.0,53835.0,35639.0,56176.0,21868.0,242359.0,78044.0,North Dakota,Male,Estimate
3937473,1363108.0,759129.0,292118.0,736344.0,437316.0,3588015.0,1173660.0,Ohio,Male,Estimate
1289733,414781.0,273181.0,91783.0,225688.0,123377.0,1128810.0,349065.0,Oklahoma,Male,Estimate
1493009,348238.0,368154.0,125523.0,324075.0,196106.0,1362096.0,520181.0,Oregon,Male,Estimate
4458766,1536157.0,674067.0,356136.0,923218.0,579708.0,4069286.0,1502926.0,Pennsylvania,Male,Estimate
371223,109653.0,61399.0,25192.0,78285.0,53423.0,327952.0,131708.0,Rhode Island,Male,Estimate
1707784,513420.0,318058.0,157470.0,333699.0,191025.0,1513672.0,524724.0,South Carolina,Male,Estimate
296766,91386.0,59267.0,33436.0,59337.0,29581.0,273007.0,88918.0,South Dakota,Male,Estimate
2316024,756705.0,465105.0,153476.0,437047.0,239993.0,2052326.0,677040.0,Tennessee,Male,Estimate
9461237,2402271.0,1884682.0,661620.0,1936277.0,1117879.0,8002729.0,3054156.0,Texas,Male,Estimate
1009449,222081.0,235772.0,85449.0,240948.0,150758.0,935008.0,391706.0,Utah,Male,Estimate
225846,65169.0,35940.0,17138.0,57628.0,33960.0,209835.0,91588.0,Vermont,Male,Estimate
2889198,726561.0,511703.0,198416.0,650003.0,536378.0,2623061.0,1186381.0,Virginia,Male,Estimate
2694850,617527.0,575069.0,256541.0,627398.0,396596.0,2473131.0,1023994.0,Washington,Male,Estimate
620750,257070.0,108611.0,37497.0,83302.0,58014.0,544494.0,141316.0,West Virginia,Male,Estimate
2020548,641667.0,401884.0,209680.0,409804.0,206909.0,1869944.0,616713.0,Wisconsin,Male,Estimate
201494,59956.0,49232.0,21483.0,34291.0,21829.0,186791.0,56120.0,Wyoming,Male,Estimate
