,State or district,Biden/Harris Democratic,Biden/Harris Democratic,Trump/Pence Republican,Trump/Pence Republican,,,,,,,,,,,,
,State or district,Votes,%,Votes,%,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,
0,Alab.,849624,36.57%,1441170,62.03%,,,,,,,,,,,,
1,Alaska,153778,42.77%,189951,52.83%,,,,,,,,,,,,
2,Arizona,1672143,49.36%,1661686,49.06%,,,,,,,,,,,,
3,Ark.,423932,34.78%,760647,62.40%,,,,,,,,,,,,
4,Calif.,11110639,63.48%,6006518,34.32%,,,,,,,,,,,,
5,Colo.,1804352,55.40%,1364607,41.90%,,,,,,,,,,,,
6,Conn.,1080831,59.26%,714717,39.19%,,,,,,,,,,,,
7,Del.,296268,58.74%,200603,39.77%,,,,,,,,,,,,
9,Florida,5297045,47.86%,5668731,51.22%,,,,,,,,,,,,
10,Georgia,2473633,49.47%,2461854,49.24%,,,,,,,,,,,,
11,Hawaii,366130,63.73%,196864,34.27%,,,,,,,,,,,,
12,Idaho,287021,33.07%,554119,63.84%,,,,,,,,,,,,
13,Illinois,3471915,57.54%,2446891,40.55%,,,,,,,,,,,,
14,Indiana,1242498,40.96%,1729857,57.03%,,,,,,,,,,,,
15,Iowa,759061,44.89%,897672,53.09%,,,,,,,,,,,,
16,Kansas,570323,41.51%,771406,56.14%,,,,,,,,,,,,
17,Ky.,772474,36.15%,1326646,62.09%,,,,,,,,,,,,
18,La.,856034,39.85%,1255776,58.46%,,,,,,,,,,,,
19,Maine †,435072,53.09%,360737,44.02%,,,,,,,,,,,,
22,Md.,1985023,65.36%,976414,32.15%,,,,,,,,,,,,
23,Mass.,2382202,65.60%,1167202,32.14%,,,,,,,,,,,,
24,Mich.,2804040,50.62%,2649852,47.84%,,,,,,,,,,,,
25,Minn.,1717077,52.40%,1484065,45.28%,,,,,,,,,,,,
26,Miss.,539398,41.06%,756764,57.60%,,,,,,,,,,,,
27,Mo.,1253014,41.41%,1718736,56.80%,,,,,,,,,,,,
28,Mont.,244786,40.55%,343602,56.92%,,,,,,,,,,,,
29,Neb. †,374583,39.17%,556846,58.22%,,,,,,,,,,,,
33,Nev.[q],703486,50.06%,669890,47.67%,,,,,,,,,,,,
34,N.H.,424937,52.71%,365660,45.36%,,,,,,,,,,,,
35,N.J.[r],2608400,57.33%,1883313,41.40%,,,,,,,,,,,,
36,N.M.,501614,54.29%,401894,43.50%,,,,,,,,,,,,
37,N.Y.,5244886,60.87%,3251997,37.74%,,,,,,,,,,,,
38,N.C.,2684292,48.59%,2758775,49.93%,,,,,,,,,,,,
39,N.D.,115042,31.78%,235751,65.12%,,,,,,,,,,,,
40,Ohio,2679165,45.24%,3154834,53.27%,,,,,,,,,,,,
41,Okla.,503890,32.29%,1020280,65.37%,,,,,,,,,,,,
42,Oregon,1340383,56.45%,958448,40.37%,,,,,,,,,,,,
43,Pa.,3458229,49.85%,3377674,48.69%,,,,,,,,,,,,
44,R.I.,307486,59.39%,199922,38.61%,,,,,,,,,,,,
45,S.C.,1091541,43.43%,1385103,55.11%,,,,,,,,,,,,
46,S.D.,150471,35.61%,261043,61.77%,,,,,,,,,,,,
47,Tenn.,1143711,37.45%,1852475,60.66%,,,,,,,,,,,,
48,Texas[s],5259126,46.48%,5890347,52.06%,,,,,,,,,,,,
49,Utah,560282,37.65%,865140,58.13%,,,,,,,,,,,,
50,Vt.,242820,66.09%,112704,30.67%,,,,,,,,,,,,
51,Va.,2413568,54.11%,1962430,44.00%,,,,,,,,,,,,
52,Wash.,2369612,57.97%,1584651,38.77%,,,,,,,,,,,,
53,W.Va.,235984,29.69%,545382,68.62%,,,,,,,,,,,,
54,Wis.,1630866,49.45%,1610184,48.82%,,,,,,,,,,,,
55,Wyo.,73491,26.55%,193559,69.94%,,,,,,,,,,,,
56,Total,81283501,51.31%,74223975,46.85%,,,,,,,,,,,,
