White alone,White alone High school graduate or higher,White alone Bachelor's degree or higher,Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,American Indian or Alaska Native alone,American Indian or Alaska Native alone High school graduate or higher,American Indian or Alaska Native alone Bachelor's degree or higher,Asian alone,Asian High school graduate or higher,Asian Bachelor's degree or higher,Some other race alone,Some other race  High school graduate or higher,Some other race Bachelor's degree or higher,Two or more races,Two or more races High school graduate or higher,Two or more races  Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher,state,gender,estimate
1215475,1107003.0,366947.0,468818,407367,104733,8666,6827,1720,27041,23249.0,16059.0,24050,14191.0,3465.0,63359,55390.0,19658.0,53762,37598.0,12270.0,Alabama,Female,Estimate
148478,143709.0,64927.0,6886,6588,2704,29225,25515,3969,18726,16114.0,6184.0,5267,4950.0,1285.0,23303,21393.0,9143.0,14179,13011.0,3518.0,Alaska,Female,Estimate
1608391,1523831.0,599005.0,100131,94317,32034,94786,78193,13128,96155,85149.0,51524.0,210420,158656.0,36419.0,409787,317523.0,90595.0,668144,502692.0,119685.0,Arizona,Female,Estimate
775566,714306.0,221315.0,150665,133289,32852,6103,4494,1683,16612,13925.0,6251.0,21665,13409.0,3162.0,81885,68382.0,15566.0,59128,39183.0,8463.0,Arkansas,Female,Estimate
5806912,5468497.0,2571165.0,758138,698024,233503,171414,124749,31030,2369048,2073974.0,1290188.0,2294458,1488535.0,313106.0,2152741,1658219.0,568554.0,4697566,3259579.0,824160.0,California,Female,Estimate
1498434,1448721.0,760023.0,68786,61804,22693,19673,16656,4402,75108,63739.0,39153.0,105412,77839.0,20904.0,239819,202686.0,76388.0,364287,287737.0,82313.0,Colorado,Female,Estimate
909273,864596.0,433125.0,134113,119861,39654,3227,2270,765,61710,55143.0,40260.0,82758,60062.0,16083.0,120506,104589.0,41166.0,190373,148082.0,46350.0,Connecticut,Female,Estimate
242489,231552.0,92438.0,74988,68057,22867,0,0,0,14825,13178.0,10214.0,12715,7021.0,1699.0,25203,21750.0,8467.0,27004,18093.0,5566.0,Delaware,Female,Estimate
4817924,4537107.0,1740643.0,1129703,986477,295081,20093,16356,4473,253140,216614.0,127507.0,466424,372676.0,118939.0,1432916,1220152.0,451264.0,2008643,1663878.0,586713.0,Florida,Female,Estimate
2050407,1900443.0,785555.0,1191121,1078294,373695,13562,7884,2325,170112,147575.0,95337.0,102888,67467.0,21332.0,261082,216681.0,85474.0,280777,197925.0,69729.0,Georgia,Female,Estimate
