White alone,White alone High school graduate or higher,White alone Bachelor's degree or higher,Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,American Indian or Alaska Native alone,American Indian or Alaska Native alone High school graduate or higher,American Indian or Alaska Native alone Bachelor's degree or higher,Asian alone,Asian High school graduate or higher,Asian Bachelor's degree or higher,Some other race alone,Some other race  High school graduate or higher,Some other race Bachelor's degree or higher,Two or more races,Two or more races High school graduate or higher,Two or more races  Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher,state,gender,estimate
1138403,1008457.0,345987.0,377410,311645,53878,6663,5224,1275,22164,19273.0,13687.0,28375,18139.0,4500.0,69575,56800.0,14663.0,59774,39000.0,9912.0,Alabama,Male,Estimate
166046,158910.0,56132.0,7822,7504,1845,29301,24426,1169,13602,12040.0,3535.0,7162,5366.0,1070.0,24424,21673.0,6415.0,14316,12123.0,2679.0,Alaska,Male,Estimate
1563187,1461903.0,592241.0,108640,99918,30951,83872,67602,6701,81928,77426.0,52321.0,209632,147503.0,28033.0,405459,311732.0,80069.0,666283,485997.0,100638.0,Arizona,Male,Estimate
726614,655605.0,190132.0,126303,108230,20076,5363,3916,1179,13810,12034.0,7633.0,27280,14650.0,2307.0,79667,61095.0,12846.0,63793,36001.0,7096.0,Arkansas,Male,Estimate
5767286,5386799.0,2590770.0,747822,667464,187814,178997,122160,27533,2053927,1846304.0,1147845.0,2366343,1495334.0,266164.0,2139055,1606094.0,489460.0,4731879,3165481.0,676036.0,California,Male,Estimate
1501032,1432780.0,719655.0,80531,73586,22074,22062,17292,3470,60333,52481.0,33823.0,122138,83779.0,21573.0,245646,202225.0,71216.0,378683,279585.0,76694.0,Colorado,Male,Estimate
849726,797405.0,389737.0,118577,104131,26051,5443,4169,1691,55588,50863.0,37429.0,85130,58374.0,12227.0,106948,86509.0,29407.0,181188,129796.0,31175.0,Connecticut,Male,Estimate
223262,207710.0,83260.0,63528,56993,14607,0,0,0,14359,13501.0,11103.0,15171,8489.0,1653.0,22172,19463.0,5976.0,27250,18017.0,4597.0,Delaware,Male,Estimate
4589074,4270121.0,1695850.0,1005056,847798,192369,23877,16408,5568,201657,178850.0,109183.0,456205,344892.0,92929.0,1357551,1138003.0,390782.0,1926337,1555779.0,496361.0,Florida,Male,Estimate
1950857,1774434.0,728761.0,967101,835328,226164,16060,9633,2969,149353,133596.0,91566.0,118304,71302.0,21200.0,240066,190920.0,70083.0,293614,194551.0,60937.0,Georgia,Male,Estimate
130853,126766.0,60132.0,12224,11658,3490,1475,1166,329,194394,175034.0,67027.0,10414,9221.0,2970.0,106747,98018.0,27099.0,42311,38850.0,9511.0,Hawaii,Male,Estimate
524574,490335.0,164116.0,4731,3768,1427,6005,5033,615,7405,6165.0,4145.0,32619,21016.0,4268.0,48822,37896.0,9238.0,68163,44305.0,7156.0,Idaho,Male,Estimate
2768115,2602509.0,1108777.0,513814,438811,105045,26830,18798,3973,248821,232588.0,168211.0,301043,201507.0,37439.0,388827,303311.0,95576.0,676553,479008.0,111646.0,Illinois,Male,Estimate
1811551,1662489.0,515327.0,175042,151829,29609,6867,5735,1020,47999,38622.0,26353.0,60354,42907.0,7929.0,123307,104900.0,29792.0,137643,102377.0,24961.0,Indiana,Male,Estimate
922612,873925.0,271008.0,32631,27904,7257,4430,3521,663,22891,17843.0,9381.0,20565,12162.0,3518.0,49986,40483.0,11212.0,51505,34106.0,6951.0,Iowa,Male,Estimate
756980,711026.0,279205.0,53090,45516,11879,6319,5043,798,27326,24208.0,15456.0,37871,23433.0,3749.0,76123,62880.0,19280.0,97234,66690.0,15754.0,Kansas,Male,Estimate
1278433,1118792.0,328038.0,99594,85399,15875,3490,2837,451,20296,16937.0,10908.0,19162,12651.0,2727.0,72037,57712.0,15443.0,46715,32269.0,8729.0,Kentucky,Male,Estimate
934056,826179.0,281210.0,418874,328254,50310,8479,5407,607,28146,21597.0,11527.0,26436,16859.0,3762.0,76985,60631.0,17832.0,75631,53855.0,14700.0,Louisiana,Male,Estimate
453384,423690.0,153201.0,5865,5356,1988,1409,1338,105,4484,4339.0,2087.0,3653,3215.0,1614.0,23267,21076.0,6409.0,7835,7140.0,2778.0,Maine,Male,Estimate
1083866,1022482.0,518479.0,566174,508377,166297,8084,5599,1422,136375,125136.0,89609.0,121319,69964.0,17223.0,121292,103724.0,49977.0,197686,129692.0,43763.0,Maryland,Male,Estimate
